Account,Document Number,Assignment,Document Type,Document Date,Net Due Date,Arrears by Net Due Date,Amount in Local Currency,Text,Reference
2581593,9974696893,,RV,9/25/2025,9/25/2025,4,"-342,795.52",,VR_PC09_11SMNR
2581593,9974696945,9974696945,DG,9/25/2025,9/25/2025,4,"-319,101.87",,PR_PC09_120_SMNR
2581593,9974696953,9974696953,DG,9/25/2025,9/25/2025,4,"-97,380.24",,PR_PC09_121_SMNR
2581593,9974697007,9974697007,DG,9/25/2025,9/25/2025,4,"-17,218.47",,PR_PC09_134_SMNR
2581593,9974697019,9974697019,DG,9/25/2025,9/25/2025,4,"-9,700.00",จ่ายวันที่  26/9/2025 exclude,PR_PC09_124_SMNR
2581593,9974697045,9974697045,DG,9/25/2025,9/25/2025,4,"-1,699,822.73",,PR_PC09_127_SMNR
2581593,9974697047,9974697047,DG,9/25/2025,9/25/2025,4,"-3,678.82",,PR_PC09_127_SMNR
2581593,9974697064,9974697064,DG,9/25/2025,9/25/2025,4,"-227,062.45",,PR_PC09_139_SMNR
2581593,9974697119,,RV,9/25/2025,9/25/2025,4,"-457,944.55",จ่ายวันที่  26/9/2025 exclude,VR_PC09_11SMNR
2581593,9974697187,9974697187,DG,9/25/2025,9/25/2025,4,"-27,528.60",,PR_PC09_131_SMNR
2581593,9974697270,9974697270,DG,9/25/2025,9/25/2025,4,"-88,221.50",,PR_PC09_132_SMNR
2581593,9974697273,9974697273,DG,9/25/2025,9/25/2025,4,"-8,730.00",,PR_PC09_132_SMNR
2581593,9974698621,9974698621,DG,9/26/2025,9/26/2025,3,"-60,841.89",,PR_PC09_133_SMNR
2581593,9974698630,9974698630,DG,9/26/2025,9/26/2025,3,"-165,075.57",,PR_PC09_133_SMNR
2581593,9974698634,9974698634,DG,9/26/2025,9/26/2025,3,"-486,387.10",,PR_PC09_133_SMNR
2581593,9974702041,9974702041,DR,9/29/2025,9/30/2025,-1,"627,635.66",,CMI2509000000532
2581593,9974702042,9974702042,DR,9/29/2025,9/30/2025,-1,"643,289.91",,CMI2509000000482
2581593,9974702043,9974702043,DR,9/29/2025,9/30/2025,-1,"323,100.41",,CMI2509000000532
2581593,9974702060,9974702060,DR,9/29/2025,9/30/2025,-1,"328,186.92",,CMI2509000000532
2581593,9974702061,9974702061,DR,9/29/2025,9/30/2025,-1,"366,291.89",,CMI2509000000482
2581593,,,,,,,"-1,399,085.85",,
2841276,9974541346,9974541346,DG,6/10/2025,6/10/2025,111,"-265,986.24",,PR_GR06_47_ONNR
2841276,9974581488,9974581488,DG,7/7/2025,7/7/2025,84,"-72,750.00",,PR_GR07_31_ONNR
2841276,9974591833,9974591833,DG,7/15/2025,7/15/2025,76,"-95,552.28",,PR_GR07_30_ONNR
2841276,9974599432,9974599432,DG,7/21/2025,7/21/2025,70,"-6,957.81",,PR_GR07_322_ONNR
2841276,9974599462,9974599462,DG,7/21/2025,7/21/2025,70,"-7,954.00",,PR_GR07_319_ONNR
2841276,9974599472,9974599472,DG,7/21/2025,7/21/2025,70,"-9,700.00",,PR_GR07_317_ONNR
2841276,9974599533,9974599533,DG,7/21/2025,7/21/2025,70,"-4,174.69",,PR_GR07_314_ONNR
2841276,9974601439,9974601439,DG,7/22/2025,7/22/2025,69,"-3,957.60",,PR_GR07_324_ONNR
2841276,9974601641,9974601641,DG,7/22/2025,7/22/2025,69,"-6,634.80",,PR_WN07_45_NKNR
2841276,9974601676,9974601676,DG,7/22/2025,7/22/2025,69,"-10,088.00",,PR_WN07_48_NKNR
2841276,9974601812,9974601812,DG,7/22/2025,7/22/2025,69,"-13,580.00",,PR_WN07_53_NKNR
2841276,9974601813,9974601813,DG,7/22/2025,7/22/2025,69,"-6,790.00",,PR_WN07_53_NKNR
2841276,9974605802,9974605802,DG,7/24/2025,7/24/2025,67,"-8,739.70",,PR_GR07_353_ONNR
2841276,9974605914,9974605914,DG,7/24/2025,7/24/2025,67,"-44,669.10",,PR_GR07_356_ONNR
2841276,9974623508,9974623508,DG,8/7/2025,8/7/2025,53,"-1,001.55",,PR_GR08_43_ONNR
2841276,9974623513,9974623513,DG,8/7/2025,8/7/2025,53,"-10,701.20",,PR_GR08_59_ONNR
2841276,9974623609,9974623609,DG,8/7/2025,8/7/2025,53,-970,,PR_GR08_62_ONNR
2841276,9974623744,9974623744,DG,8/7/2025,8/7/2025,53,"-5,198.42",,PR_GR08_68_ONNR
2841276,9974623847,9974623847,DG,8/7/2025,8/7/2025,53,"-1,675.91",,PR_GR08_72_ONNR
2841276,9974623978,9974623978,DG,8/7/2025,8/7/2025,53,"-12,359.06",,PR_GR08_75_ONNR
2841276,9974625141,9974625141,DG,8/8/2025,8/8/2025,52,"-8,148.00",,PR_GR08_80_ONNR
2841276,9974625230,9974625230,DG,8/8/2025,8/8/2025,52,"-3,201.00",,PR_GR08_87_ONNR
2841276,9974625232,9974625232,DG,8/8/2025,8/8/2025,52,"-13,919.50",,PR_GR08_88_ONNR
2841276,9974625262,9974625262,DG,8/8/2025,8/8/2025,52,-638.41,,PR_GR08_83_ONNR
2841276,9974625715,9974625715,DG,8/8/2025,8/8/2025,52,"-9,690.30",,PR_GR08_95_ONNR
2841276,9974625746,9974625746,DG,8/8/2025,8/8/2025,52,"-4,462.00",,PR_GR08_98_ONNR
2841276,9974625778,9974625778,DG,8/8/2025,8/8/2025,52,"-26,190.00",,PR_GR08_99_ONNR
2841276,9974625786,9974625786,DG,8/8/2025,8/8/2025,52,"-10,941.60",,PR_GR08_108_ONNR
2841276,9974625791,9974625791,DG,8/8/2025,8/8/2025,52,"-130,754.45",,PR_GR08_112_ONNR
2841276,9974625798,9974625798,DG,8/8/2025,8/8/2025,52,"-4,171.00",,PR_GR08_103_ONNR
2841276,9974625805,9974625805,DG,8/8/2025,8/8/2025,52,"-5,432.00",,PR_GR08_106_ONNR
2841276,9974625837,9974625837,DG,8/8/2025,8/8/2025,52,"-35,909.40",,PR_GR08_117_ONNR
2841276,9974626191,9974626191,DG,8/8/2025,8/8/2025,52,"-14,550.00",,PR_GR08_126_ONNR
